微单倍型名称	染色体位置	基因座	上游引物开始位置	上游引物终止位置	下游引物开始位置	下游引物终止位置
mh01KK-002	1	ESRRG	216634338	216634360	216634472	216634449
mh01KK-106	1	LOC28716	4227422	4227439	4227665	4227642
mh01KK-117	1	LRRN2	204633320	204633339	204633562	204633542
mh02KK-003	2	EDAR	109586285	109586308	109586462	109586444
mh02KK-134	2	ITGB6	161079345	161079364	161079542	161079522
mh02KK-201	2	TEX41	145753141	145753165	145753309	145753285
mh04KK-013	4	STAP1	68444075	68444099	68444324	68444303
mh05KK-170	5	D5S1970	2447975	2447999	2448184	2448163
mh06KK-101	6	DLL1	170589780	170589802	170590021	170590004
mh09KK-153	9	LPPR1	103969717	103969736	103969896	103969877
mh09KK-157	9	GFI1B	135862423	135862443	135862655	135862635
mh11KK-180	11	FAM99A	1690770	1690789	1691057	1691041
mh11KK-187	11	TENM4	78947562	78947585	78947811	78947796
mh13KK-047	13	DLEU1	50887529	50887554	50887756	50887731
mh13KK-217	13	LRRC63	46865908	46865929	46866188	46866166
mh13KK-218	13	D13S169	54060795	54060821	54061003	54060976
mh13KK-226	13	D13S1676	95546624	95546647	95546814	95546793
mh15KK-067	15	SEMA6D	46870653	46870673	46870915	46870892
mh15KK-095	15	SLC24A5	48414941	48414963	48415129	48415108
mh15KK-104	15	HERC1	64098483	64098505	64098722	64098699
mh16KK-049	16	RBFOX1	7209155	7209175	7209424	7209404
mh16KK-096	16	MC1R	89986082	89986100	89986196	89986177
mh16KK-255	16	PLCG2	81970314	81970334	81970549	81970530
mh16KK-302	16	RBFOX1	7587705	7587726	7587898	7587879
mh18KK-293	18	D18S1122	76089857	76089878	76090021	76089995
mh19KK-299	19	LINC01233	22729475	22729494	22729690	22729672
mh19KK-301	19	KLK5	51441708	51441730	51441875	51441851
mh21KK-316	21	CYYR1	27782924	27782946	27783131	27783108
mh21KK-324	21	LOC642852	46714533	46714548	46714728	46714710
mh22KK-069	22	ZC3H7B	41729188	41729211	41729331	41729311
mh01KK-210	1	EPHB2	23142247	23142265	23142524	23142503
mh01KK-211	1	OLFML2B	161955618	161955637	161955860	161955838
mh02KK-102	2	EDAR	109514007	109514029	109514220	109514196
mh02KK-136	2	COL4A3	228092328	228092346	228092489	228092465
mh03KK-006	3	HCLS1	121364152	121364169	121364283	121364254
mh03KK-008	3	LRRC2	46556777	46556799	46557048	46557024
mh03KK-150	3	CPNE4	131645891	131645914	131646187	131646167
mh04KK-017	4	ADH7	100321353	100321375	100321642	100321618
mh04KK-074	4	CLOCK	56323565	56323586	56323736	56323714
mh05KK-062	5	PAPD7	6844994	6845016	6845056	6845036
mh06KK-025	6	SERPINB6	2937174	2937195	2937402	2937379
mh09KK-034	9	TYRP1	12672164	12672185	12672357	12672328
mh09KK-152	9	FRMD3	85808593	85808619	85808833	85808812
mh10KK-085	10	CYP2C8	96827125	96827143	96827241	96827223
mh11KK-037	11	PDE2A	72269193	72269213	72269414	72269392
mh11KK-040	11	ANKK1	113264409	113264430	113264534	113264516
mh11KK-041	11	DRD2	113283403	113283422	113283493	113283478
mh11KK-091	11	DRD2-NCAM	113346212	113346231	113346403	113346384
mh11KK-191	11	CNTN5	99880140	99880162	99880435	99880416
mh13KK-213	13	SGCG	23765507	23765530	23765721	23765704
mh13KK-223	13	COL4A1	110806659	110806678	110806938	110806916
mh13KK-225	13	D13S1320	66712662	66712683	66712864	66712843
mh14KK-048	14	C14ORF43	74250516	74250534	74250746	74250726
mh14KK-068	14	OR5AU1	21625149	21625170	21625306	21625287
mh15KK-066	15	MYO5C	52484857	52484876	52485094	52485070
mh17KK-272	17	TOM1L1	52942355	52942376	52942590	52942570
mh18KK-285	18	HRH4	22137290	22137311	22137535	22137511
mh20KK-307	20	KIF16B	16513197	16513221	16513446	16513423
mh21KK-315	21	D21S1263	21880046	21880070	21880330	21880311
mh21KK-320	21	LINC00111	43062820	43062839	43063102	43063083
